verbatimScientificName,individualCount,decimalLatitude,decimalLongitude,eventDate,day,month,year,stateProvince,week
Cardellina canadensis,2.0,7.949893,-75.96036,2021-10-02,2,10,2021,Córdoba,39
Cardellina canadensis,1.0,4.647697,-75.57952,2021-10-09,9,10,2021,Quindío,40
Cardellina canadensis,2.0,5.594214,-75.81623,2021-12-16,16,12,2021,Antioquia,50
Cardellina canadensis,2.0,5.063896,-74.533325,2021-10-09,9,10,2021,Cundinamarca,40
Cardellina canadensis,1.0,4.447736,-75.22579,2021-12-18,18,12,2021,Tolima,50
Cardellina canadensis,2.0,5.063896,-74.533325,2021-10-09,9,10,2021,Cundinamarca,40
Hirundo rustica,11.0,6.231949,-75.51641,2021-10-09,9,10,2021,Antioquia,40
Cardellina canadensis,1.0,3.528089,-76.61703,2021-11-01,1,11,2021,Valle del Cauca,44
Cardellina canadensis,2.0,4.274448,-73.59136,2021-11-21,21,11,2021,Meta,47
Cardellina canadensis,1.0,5.330149,-74.92023,2021-11-27,27,11,2021,Caldas,47
Hirundo rustica,1.0,1.270834,-70.215576,2021-12-05,5,12,2021,Vaupés,49
Cardellina canadensis,1.0,5.026326,-74.328316,2021-11-15,15,11,2021,Cundinamarca,46
Vireo flavoviridis,2.0,4.658577,-74.09362,2021-10-24,24,10,2021,Distrito Capital de Bogotá,43
Cardellina canadensis,1.0,6.326146,-75.562386,2021-12-11,11,12,2021,Antioquia,49
Hirundo rustica,4.0,4.950268,-73.95247,2021-10-17,17,10,2021,Cundinamarca,42
Cardellina canadensis,1.0,6.861838,-73.38735,2021-11-14,14,11,2021,Santander,46
Hirundo rustica,2.0,3.369563,-74.044106,2021-05-06,6,5,2021,Meta,18
Cardellina canadensis,1.0,5.03906,-75.56416,2021-12-05,5,12,2021,Caldas,49
Cardellina canadensis,1.0,6.207819,-75.569916,2021-10-16,16,10,2021,Antioquia,41
Cardellina canadensis,1.0,4.882734,-73.24305,2021-02-04,4,2,2021,Boyacá,5
Cardellina canadensis,1.0,1.885942,-76.263725,2021-12-03,3,12,2021,Huila,48
Cardellina canadensis,1.0,3.548972,-76.63003,2021-10-03,3,10,2021,Valle del Cauca,40
Cardellina canadensis,2.0,5.238739,-76.08979,2021-10-10,10,10,2021,Risaralda,41
